"Story","Title","Result","Date","Stability","Duration (s)"
"register daily report","Paging","SUCCESS","2016-11-03T19:59:59.038+07:00","0.0","13.98"
"register daily report","create new daily report and fill all fields","SUCCESS","2016-11-03T20:00:56.545+07:00","0.0","45.97"
"register daily report","create new daily report and fill only required fields","SUCCESS","2016-11-03T20:00:14.062+07:00","0.0","19.06"
"register daily report","create new daily report with category is other works","SUCCESS","2016-11-03T20:00:34.880+07:00","0.0","20.4"
"register daily report","initialization screen when access from search by date screen","SUCCESS","2016-11-03T19:59:43.591+07:00","0.0","14.54"
"register daily report","initialization screen when create new daily report and verify toggle column","SUCCESS","2016-11-03T19:59:30.605+07:00","0.0","11.7"
"register daily report","logout from system","SUCCESS","2016-11-03T20:00:13.054+07:00","0.0","0.97"
"register daily report","update daily report when access from menu","SUCCESS","2016-11-03T20:01:43.691+07:00","0.0","59.15"
"register daily report","verify create new company when create daily report","SUCCESS","2016-11-03T20:02:44.398+07:00","0.0","40.75"
"register daily report","verify delete daily report","SUCCESS","2016-11-03T20:03:26.592+07:00","0.0","22.19"
