"Story","Title","Result","Date","Stability","Duration (s)"
"company management","Filter","SUCCESS","2016-11-03T20:08:21.093+07:00","0.0","19.15"
"company management","Paging","SUCCESS","2016-11-03T20:07:45.533+07:00","0.0","16.75"
"company management","Sorter","SUCCESS","2016-11-03T20:08:41.382+07:00","0.0","35.59"
"company management","add new company and fill all fields","SUCCESS","2016-11-03T20:10:04.375+07:00","0.0","27.36"
"company management","add new company and fill only required field","SUCCESS","2016-11-03T20:09:18.102+07:00","0.0","24.5"
"company management","cannot delete a company if user is not admin","ERROR","2016-11-03T20:12:28.184+07:00","0.0","3.92"
"company management","delete company after edit company","SUCCESS","2016-11-03T20:12:08.100+07:00","0.0","19.06"
"company management","delete company by select after filter","SUCCESS","2016-11-03T20:09:43.787+07:00","0.0","19.51"
"company management","edit company and fill all field","SUCCESS","2016-11-03T20:11:38.222+07:00","0.0","28.61"
"company management","edit company with only required fields","SUCCESS","2016-11-03T20:11:11.821+07:00","0.0","25.26"
"company management","initialization screen","SUCCESS","2016-11-03T20:07:30.037+07:00","0.0","14.48"
"company management","logout from system","SUCCESS","2016-11-03T20:12:32.300+07:00","0.0","0.16"
"company management","save immediately after open edit screen","SUCCESS","2016-11-03T20:10:51.066+07:00","0.0","19.57"
"company management","search company","SUCCESS","2016-11-03T20:08:03.300+07:00","0.0","16.62"
"company management","verify recent activities","SUCCESS","2016-11-03T20:10:32.994+07:00","0.0","16.85"
"company management","when add new company, click cancel after fill all fields","SUCCESS","2016-11-03T20:12:53.310+07:00","0.0","20.75"
"company management","when add new company, click reset after fill all fields","SUCCESS","2016-11-03T20:12:32.552+07:00","0.0","19.54"
"company management","when edit company, click cancel after fill all data","ERROR","2016-11-03T20:13:38.718+07:00","0.0","18.42"
"company management","when edit company, click reset after fill all data","SUCCESS","2016-11-03T20:13:15.275+07:00","0.0","22.2"
