"Story","Title","Result","Date","Stability","Duration (s)"
"company management","Filter","SUCCESS","2016-11-03T20:08:21.093+07:00","0.0","19.15"
"Employee Management display","Open Employee Management and add","SUCCESS","2016-11-03T20:34:55.646+07:00","0.0","27.45"
"Employee Management display","Open Employee Management and add  not success","SUCCESS","2016-11-03T20:31:38.388+07:00","0.0","21.95"
"Employee Management display","Open Employee Management and add and back","SUCCESS","2016-11-03T20:35:47.223+07:00","0.0","18.09"
"Employee Management display","Open Employee Management and add new","SUCCESS","2016-11-03T20:32:27.688+07:00","0.0","45.39"
"Employee Management display","Open Employee Management and delete with user full permission","SUCCESS","2016-11-03T20:35:23.995+07:00","0.0","22.2"
"Employee Management display","Open Employee Management and edit","SUCCESS","2016-11-03T20:33:14.366+07:00","0.0","45.92"
"Employee Management display","Open Employee Management and edit and back","SUCCESS","2016-11-03T20:34:29.010+07:00","0.0","25.41"
"Employee Management display","Open Employee Management and filter Employee input","SUCCESS","2016-11-03T20:28:53.835+07:00","0.0","39.49"
"Employee Management display","Open Employee Management and filter Employee select box","SUCCESS","2016-11-03T20:29:34.425+07:00","0.0","38.33"
"Employee Management display","Open Employee Management and sort all column","SUCCESS","2016-11-03T20:30:13.878+07:00","0.0","34.75"
"Employee Management display","Open Employee Management and use toggle working","SUCCESS","2016-11-03T20:31:03.248+07:00","0.0","33.91"
"Employee Management display","Open Employee Management and verify paging","SUCCESS","2016-11-03T20:30:49.816+07:00","0.0","12.23"
"Employee Management display","Open Employee Management and verify paging last, first, next, previous","ERROR","2016-11-03T20:36:51.838+07:00","0.0","7.68"
"Employee Management display","Open Employee Management and verify when select 1 record, change page and back","FAILURE","2016-11-03T20:37:05.056+07:00","0.0","16.56"
"Employee Management display","Open Employee Management and verify when start","SUCCESS","2016-11-03T20:28:27.301+07:00","0.0","12.21"
"Employee Management display","Open Employee Management verify check toggle column show hidden column","SUCCESS","2016-11-03T20:28:40.572+07:00","0.0","12.18"
"Employee Management display","Open Employee Management verify screen when add new employee and click button reset","SUCCESS","2016-11-03T20:36:06.359+07:00","0.0","17.27"
"Employee Management display","Open Employee Management verify screen when edit new employee and click button reset","SUCCESS","2016-11-03T20:36:24.567+07:00","0.0","25.91"
"Notification Setting display","Open Notification Setting and verify paging last, first, next, previous","SUCCESS","2016-11-03T19:54:57.263+07:00","0.0","20.41"
