"Story","Title","Result","Date","Stability","Duration (s)"
"Accounting","change page on paging","SUCCESS","2016-11-03T20:23:54.077+07:00","0.0","26.4"
"Credit management test 4-6","change screen and fill sample data New Report-->Back-->Edit-->Back-->View-->Back-->Duplicate.","SUCCESS","2016-11-03T20:25:39.415+07:00","0.0","82.2"
"Accounting","initialization screen","SUCCESS","2016-11-03T20:22:47.847+07:00","0.0","11.14"
"Accounting","search customer by code","SUCCESS","2016-11-03T20:22:59.958+07:00","0.0","17.76"
"Accounting","search customer by other conditions","SUCCESS","2016-11-03T20:23:19.307+07:00","0.0","33.2"
"Credit management test 1-3","search customer by other conditions, mapping sansan with credit data but not have Credit Investigation","SUCCESS","2016-11-03T20:15:06.821+07:00","0.0","50.24"
"Credit management test 1-3","search customer by other conditions, not mapping sansan with credit data","SUCCESS","2016-11-03T20:14:00.158+07:00","0.0","28.7"
"Credit management test 1-3","select record -> duplicate -> back","SUCCESS","2016-11-03T20:17:09.485+07:00","0.0","20.62"
"Credit management test 4-6","select record -> duplicate -> reset","SUCCESS","2016-11-03T20:27:03.118+07:00","0.0","27.1"
"Credit management test 4-6","select record -> duplicate -> save draft -> fail -> Reject->save draft -> success","SUCCESS","2016-11-03T20:24:21.672+07:00","0.0","76.12"
"Credit management test 1-3","select record -> duplicate start screen","SUCCESS","2016-11-03T20:16:29.133+07:00","0.0","38.87"
"Credit management add and edit","select record draft -> approve","SUCCESS","2016-11-03T20:18:25.775+07:00","0.0","53.16"
"Credit management test 4-6","verify approve customer data","SUCCESS","2016-11-03T20:27:31.708+07:00","0.0","54.01"
"Credit management add and edit","verify approve full data","SUCCESS","2016-11-03T20:21:49.642+07:00","0.0","56.41"
"Credit management add and edit","verify approve required data","SUCCESS","2016-11-03T20:19:20.386+07:00","0.0","147.61"
"Credit management test 1-3","verify screen View->Duplicate is same","SUCCESS","2016-11-03T20:15:57.889+07:00","0.0","29.86"
"Credit management add and edit","verify tab input customer data","SUCCESS","2016-11-03T20:17:31.481+07:00","0.0","53.03"
