"Story","Title","Result","Date","Stability","Duration (s)"
"Employee Management display","Open Employee Management and add","SUCCESS","2016-11-03T09:16:07.676+07:00","0.0","24.49"
"Employee Management display","Open Employee Management and add  not success","SUCCESS","2016-11-03T09:13:33.274+07:00","0.0","17.01"
"Employee Management display","Open Employee Management and add and back","SUCCESS","2016-11-03T09:16:54.275+07:00","0.0","16.75"
"Employee Management display","Open Employee Management and add new","SUCCESS","2016-11-03T09:14:11.563+07:00","0.0","35.84"
"Employee Management display","Open Employee Management and delete with user full permission","SUCCESS","2016-11-03T09:15:26.841+07:00","0.0","20.2"
"Employee Management display","Open Employee Management and edit","SUCCESS","2016-11-03T09:14:48.209+07:00","0.0","37.77"
"Employee Management display","Open Employee Management and edit and back","SUCCESS","2016-11-03T09:15:47.834+07:00","0.0","18.9"
"Employee Management display","Open Employee Management and filter Employee input","SUCCESS","2016-11-03T09:11:40.234+07:00","0.0","24.96"
"Employee Management display","Open Employee Management and filter Employee select box","SUCCESS","2016-11-03T09:12:05.943+07:00","0.0","24.84"
"Employee Management display","Open Employee Management and sort all column","SUCCESS","2016-11-03T09:12:31.547+07:00","0.0","25.05"
"Employee Management display","Open Employee Management and use toggle working","SUCCESS","2016-11-03T09:13:05.282+07:00","0.0","27.22"
"Employee Management display","Open Employee Management and verify paging","SUCCESS","2016-11-03T09:12:57.372+07:00","0.0","7.03"
"Employee Management display","Open Employee Management and verify paging last, first, next, previous","SUCCESS","2016-11-03T09:17:50.197+07:00","0.0","11.09"
"Employee Management display","Open Employee Management and verify when select 1 record, change page and back","SUCCESS","2016-11-03T09:18:02.271+07:00","0.0","18.56"
"Employee Management display","Open Employee Management and verify when start","SUCCESS","2016-11-03T09:11:22.630+07:00","0.0","8.18"
"Employee Management display","Open Employee Management verify check toggle column show hidden column","SUCCESS","2016-11-03T09:11:31.545+07:00","0.0","7.94"
"Employee Management display","Open Employee Management verify screen when add new employee and click button reset","SUCCESS","2016-11-03T09:17:11.875+07:00","0.0","14.98"
"Employee Management display","Open Employee Management verify screen when edit new employee and click button reset","SUCCESS","2016-11-03T09:17:27.769+07:00","0.0","21.42"
