"Story","Title","Result","Date","Stability","Duration (s)"
"company management","Filter","SUCCESS","2016-11-03T08:52:57.759+07:00","0.0","14.14"
"company management","Paging","SUCCESS","2016-11-03T08:52:35.781+07:00","0.0","10.59"
"company management","Sorter","SUCCESS","2016-11-03T08:53:12.759+07:00","0.0","26.65"
"company management","add new company and fill all fields","FAILURE","2016-11-03T08:54:16.132+07:00","0.0","12.76"
"company management","add new company and fill only required field","SUCCESS","2016-11-03T08:53:40.213+07:00","0.0","19.15"
"company management","delete company after edit company","ERROR","2016-11-03T08:55:09.610+07:00","0.0","6.81"
"company management","delete company by select after filter","SUCCESS","2016-11-03T08:54:00.188+07:00","0.0","15.02"
"company management","edit company and fill all field","ERROR","2016-11-03T08:55:02.106+07:00","0.0","6.64"
"company management","edit company with only required fields","ERROR","2016-11-03T08:54:54.500+07:00","0.0","6.73"
"company management","initialization screen","SUCCESS","2016-11-03T08:52:26.190+07:00","0.0","8.68"
"company management","save immediately after open edit screen","SUCCESS","2016-11-03T08:54:38.232+07:00","0.0","15.4"
"company management","search company","SUCCESS","2016-11-03T08:52:47.254+07:00","0.0","9.75"
"company management","verify recent activities","ERROR","2016-11-03T08:54:30.694+07:00","0.0","6.71"
"company management","when add new company, click cancel after fill all fields","SUCCESS","2016-11-03T08:55:39.748+07:00","0.0","14.16"
"company management","when add new company, click reset after fill all fields","SUCCESS","2016-11-03T08:55:24.800+07:00","0.0","13.11"
"company management","when edit company, click cancel after fill all data","SUCCESS","2016-11-03T08:56:12.739+07:00","0.0","15.61"
"company management","when edit company, click reset after fill all data","SUCCESS","2016-11-03T08:55:55.845+07:00","0.0","14.96"
