"Story","Title","Result","Date","Stability","Duration (s)"
"Accounting","change page on paging","SUCCESS","2016-11-03T09:07:26.104+07:00","0.0","17.49"
"Credit management test 4-6","change screen and fill sample data New Report-->Back-->Edit-->Back-->View-->Back-->Duplicate.","SUCCESS","2016-11-03T09:08:55.363+07:00","0.0","73.4"
"Accounting","initialization screen","SUCCESS","2016-11-03T09:06:33.277+07:00","0.0","7.26"
"Accounting","search customer by code","SUCCESS","2016-11-03T09:06:41.269+07:00","0.0","14.87"
"Accounting","search customer by other conditions","SUCCESS","2016-11-03T09:06:57.120+07:00","0.0","27.87"
"Credit management test 1-3","search customer by other conditions, mapping sansan with credit data and Credit Investigation","SUCCESS","2016-11-03T08:56:50.972+07:00","0.0","120.32"
"Credit management test 1-3","search customer by other conditions, mapping sansan with credit data but not have Credit Investigation","SUCCESS","2016-11-03T08:58:52.699+07:00","0.0","57.79"
"Credit management test 1-3","search customer by other conditions, not mapping sansan with credit data","SUCCESS","2016-11-03T08:56:30.401+07:00","0.0","19.69"
"Credit management test 4-6","select record -> duplicate -> reset","SUCCESS","2016-11-03T09:10:09.950+07:00","0.0","22.97"
"Credit management test 4-6","select record -> duplicate -> save draft -> fail -> Reject->save draft -> success","SUCCESS","2016-11-03T09:07:44.737+07:00","0.0","69.49"
"Credit management add and edit","select record draft -> approve","SUCCESS","2016-11-03T09:02:30.392+07:00","0.0","55.19"
"Credit management test 4-6","verify approve customer data","SUCCESS","2016-11-03T09:10:33.760+07:00","0.0","47.78"
"Credit management add and edit","verify approve full data","SUCCESS","2016-11-03T09:05:46.079+07:00","0.0","46.19"
"Credit management add and edit","verify approve required data","SUCCESS","2016-11-03T09:03:26.396+07:00","0.0","138.81"
"Credit management test 1-3","verify screen View->Duplicate is same","SUCCESS","2016-11-03T08:59:51.537+07:00","0.0","32.96"
"Credit management add and edit","verify tab input customer data","SUCCESS","2016-11-03T09:01:39.616+07:00","0.0","49.85"
